"query","clicks","impressions","ctr","position","position_band","category","cluster","commercial_intent","current_or_probable_url","url_confidence","opportunity_score","recommended_action","priority"
"lugares para fazer ensaio fotográfico em sp","15","224","6.7%","9.8","7-10","DINHEIRO","lugares-fotografar","1","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugares para tirar fotos em sp","11","46","23.91%","1.7","1-3","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"lugares bonitos para tirar foto em sp","11","40","27.5%","1","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografo corporativo","10","483","2.07%","28.16","21-50","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+CASE","P3"
"site de fotografo","9","82","10.98%","8.91","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografia evento corporativo","9","43","20.93%","3.33","4-6","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","MONITOR","P3"
"fotos são paulo","7","1089","0.64%","2.2","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografo em sao paulo","5","256","1.95%","16.71","16-20","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+CASE","P3"
"fotografos em sp","5","63","7.94%","16.59","16-20","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+CASE","P3"
"foto lembrança na hora","4","116","3.45%","7.27","7-10","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"como sair bem em fotos","4","88","4.55%","6.88","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografo em sp","4","62","6.45%","7.73","7-10","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografos em sao paulo","4","58","6.9%","7.9","7-10","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"dicas para foto","4","44","9.09%","5.52","4-6","APOIO","outros","0.6","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"locais para ensaio fotográfico","4","43","9.3%","3.6","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0","MONITOR","P3"
"lugares para ensaio fotográfico","4","37","10.81%","5.86","4-6","DINHEIRO","lugares-fotografar","1","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"ensaios femininos","4","28","14.29%","10.5","11-15","DINHEIRO","outros","1","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotos preto e branco","3","771","0.39%","8.23","7-10","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografo sao paulo","3","236","1.27%","21.19","21-50","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+CASE","P3"
"fotografia industrial","3","99","3.03%","18.64","16-20","DINHEIRO","industria","1","/fotografo-corporativo/fotografia-industrial-em-sp","URL_PROVAVEL","0","CONTENT+CASE","P3"
"lugares bonitos para tirar foto perto de mim","3","62","4.84%","6.11","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugares para fotos","3","57","5.26%","7.47","7-10","DINHEIRO","lugares-fotografar","0.5","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"site de fotógrafos profissionais","3","47","6.38%","8.72","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"editar video","3","39","7.69%","16.82","16-20","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0","CONTENT+CASE","P3"
"ensaio profissional dentista","3","35","8.57%","3.31","4-6","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0","MONITOR","P3"
"fotografia profissional perto de mim","3","27","11.11%","8.85","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografo eventos corporativos","3","23","13.04%","12.78","11-15","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugares para ensaio fotográfico perto de mim","3","11","27.27%","7.9","7-10","DINHEIRO","lugares-fotografar","1","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"foto lembrança","2","186","1.08%","7.72","7-10","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"dicas para fotos","2","123","1.63%","18.69","16-20","APOIO","outros","0.6","/blog","URL_PROVAVEL","0","CONTENT+CASE","P3"
"foto profissional preto e branco","2","112","1.79%","1.1","1-3","IRRELEVANTE","foto-profissional","0","/foto-profissional","URL_PROVAVEL","0","MONITOR","P3"
"fotos lindas de são paulo","2","112","1.79%","1.19","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografo de eventos","2","91","2.2%","15.5","16-20","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+CASE","P3"
"lugar para tirar fotos em sp","2","75","2.67%","27.45","21-50","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+CASE","P3"
"fotos a preto e branco lindas","2","59","3.39%","2.8","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"app para fazer video com fotos gratuito","2","54","3.7%","10.15","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"fotógrafo em são paulo","2","51","3.92%","16.12","16-20","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+CASE","P3"
"aplicativo para editar videos para instagram","2","42","4.76%","8.76","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"app para criar videos com fotos","2","39","5.13%","11.26","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"fotografo site","2","38","5.26%","9.3","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografia sao paulo","2","36","5.56%","9.22","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"aplicativo de video gratis","2","30","6.67%","9.47","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"roupas para ensaio fotográfico em estúdio","2","30","6.67%","9.7","7-10","DINHEIRO","outros","1","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"site fotografo","2","29","6.9%","9.31","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"sites de fotografos profissionais","2","28","7.14%","8.7","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"site de fotografos","2","27","7.41%","11.93","11-15","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"ensaio fotográfico dentista","2","24","8.33%","3.67","4-6","DINHEIRO","saude","1","/fotos-profissionais-medicos","URL_PROVAVEL","0","MONITOR","P3"
"site de fotografia profissional","2","23","8.7%","8.52","7-10","DINHEIRO","foto-profissional","1","/foto-profissional","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"plano de fundo para foto","2","19","10.53%","7.16","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0","INTERNAL LINK (blog->money)","P3"
"lugares para fazer ensaio fotográfico de debutante","2","16","12.5%","5.5","4-6","DINHEIRO","lugares-fotografar","1","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"editor de fotos e vídeos grátis","2","13","15.38%","12.8","11-15","INFORMATIVA","video","0.15","/videos","URL_PROVAVEL","0","MONITOR","P3"
"site fotografos","2","12","16.67%","8.5","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografo em são paulo","2","9","22.22%","3.89","4-6","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","MONITOR","P3"
"fotos de comidas bonitas","1","852","0.12%","1.88","1-3","IRRELEVANTE","gastronomia","0","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0","MONITOR","P3"
"fotos em preto e branco","1","617","0.16%","7.13","7-10","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"fotos em preto e branco de pessoas","1","162","0.62%","1.38","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografo de eventos corporativos","1","140","0.71%","20.77","21-50","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+CASE","P3"
"fotos de sp","1","103","0.97%","1.32","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"tirar foto sao paulo","1","87","1.15%","31.09","21-50","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","MONITOR","P3"
"fotos de pessoas em preto e branco","1","48","2.08%","1","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"site de fotógrafos","1","47","2.13%","16.4","16-20","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+CASE","P3"
"fotografo de arquitetura","1","45","2.22%","23.27","21-50","DINHEIRO","arquitetura","1","/fotografo-corporativo/fotografia-de-arquitetura-e-interiores","URL_PROVAVEL","0","CONTENT+CASE","P3"
"fotos em sp","1","44","2.27%","1.3","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"como tirar foto em preto e branco no celular","1","39","2.56%","7.59","7-10","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"capa de perfil linkedin","1","35","2.86%","10.31","11-15","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotógrafo de eventos","1","33","3.03%","12.33","11-15","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"ensaio fotografico feminino","1","23","4.35%","10.43","11-15","DINHEIRO","outros","1","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"site fotografia","1","23","4.35%","18.22","16-20","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+CASE","P3"
"photoshop atalhos","1","22","4.55%","10.5","11-15","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0","INTERNAL LINK (blog->money)","P3"
"editor de videos","1","22","4.55%","21.41","21-50","DINHEIRO","video","0.5","/videos","URL_PROVAVEL","0","CONTENT+CASE","P3"
"editor de videos app","1","21","4.76%","6.19","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"app para videos com fotos","1","21","4.76%","7.62","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"site fotografos profissionais","1","21","4.76%","10.1","11-15","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"apps editar videos","1","19","5.26%","6.26","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"cores de fundo para fotos","1","18","5.56%","6.44","7-10","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0","INTERNAL LINK (blog->money)","P3"
"revelar fotos na hora","1","17","5.88%","8.65","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"como liberar espaço no icloud sem perder nada","1","16","6.25%","6.88","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"o corpo fala imagens","1","16","6.25%","9.6","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"editor de video profissional para android","1","16","6.25%","9.88","7-10","DINHEIRO","edicao-apps","1","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugares instagramaveis em sao paulo","1","15","6.67%","7.2","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"lugares para tirar foto de casamento","1","15","6.67%","7.47","7-10","INFORMATIVA","lugares-fotografar","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"empresas de fotografia","1","15","6.67%","8.13","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"editor video app","1","15","6.67%","9.93","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"ideias de fotos corporativas femininas","1","14","7.14%","7.29","7-10","DINHEIRO","fotografo-corporativo","1","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografo ensaio profissional","1","13","7.69%","6.46","7-10","DINHEIRO","outros","1","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"jpeg jpg png","1","13","7.69%","7.31","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"profissional imagem","1","13","7.69%","8.46","7-10","DINHEIRO","outros","1","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"armazenamento iphone cheio o que fazer","1","13","7.69%","9.23","7-10","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"poses para retratos","1","12","8.33%","3.17","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografos sao paulo","1","12","8.33%","6","4-6","DINHEIRO","fotografo-generico","0.5","/fotografo-corporativo","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"poses politicos","1","11","9.09%","4.45","4-6","AUTORIDADE","outros","0.4","/blog","URL_PROVAVEL","0","INTERNAL LINK (blog->money)","P3"
"fotografia para eventos","1","11","9.09%","8.64","7-10","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografo linkedin","1","11","9.09%","8.73","7-10","DINHEIRO","linkedin","1","/foto-profissional-para-linkedin","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"aplicativo de fazer vídeo porno","1","11","9.09%","11","11-15","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"foto e vídeo para evento corporativo","1","9","11.11%","5.33","4-6","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografia eventos","1","9","11.11%","10.22","11-15","DINHEIRO","eventos","1","/eventos-corporativos","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugar para fazer ensaio fotografico","1","8","12.5%","3.12","4-6","DINHEIRO","outros","1","/","URL_PROVAVEL","0","MONITOR","P3"
"lugares para fotos de 15 anos","1","8","12.5%","4.12","4-6","DINHEIRO","lugares-fotografar","0.5","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugares para fazer fotos de 15 anos","1","8","12.5%","4.62","4-6","DINHEIRO","lugares-fotografar","0.5","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"fotografo retrato corporativo","1","8","12.5%","9.25","7-10","DINHEIRO","retrato-executivo","1","/fotografia-executiva","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"comida","1","7","14.29%","3.29","4-6","DINHEIRO","gastronomia","1","/fotografo-corporativo/fotografia-gastronomica","URL_PROVAVEL","0","MONITOR","P3"
"ensaio fotografico para advogado","1","7","14.29%","4.86","4-6","DINHEIRO","advocacia","1","/fotografia-para-advogados","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"qual aplicativo bom para editar vídeos","1","7","14.29%","5.14","4-6","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"locais instagramaveis","1","7","14.29%","7","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"youtube live","1","7","14.29%","7","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"apps para video","1","7","14.29%","7.14","7-10","DINHEIRO","edicao-apps","0.5","/blog","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"you tube","1","7","14.29%","7.71","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"beauty fair 2026 fotos","1","7","14.29%","8","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"foto em branco e preto","1","7","14.29%","8","7-10","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"blog fotografo","1","7","14.29%","15.86","16-20","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+CASE","P3"
"são paulo","1","6","16.67%","4.5","4-6","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"lightroom editar fotos","1","6","16.67%","21.67","21-50","AUTORIDADE","edicao-apps","0.4","/blog","URL_PROVAVEL","0","INTERNAL LINK (blog->money)","P3"
"tirar preto e branco da foto","1","5","0.2%","12.4","11-15","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"como apagar icloud do iphone","1","3","33.33%","2.33","1-3","INFORMATIVA","edicao-apps","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"lugares fotograficos","1","3","33.33%","2.33","1-3","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","MONITOR","P3"
"foto preto e branco pessoa","1","3","33.33%","2.67","1-3","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"luz de wood significado de colores pdf","1","3","33.33%","3","1-3","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"profissional","1","3","33.33%","3","1-3","DINHEIRO","outros","1","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografia business","1","3","33.33%","4","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"psicologia foto de perfil","1","3","33.33%","4","4-6","DINHEIRO","foto-profissional","0.5","/foto-profissional","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"lugares lindos para fotos","1","3","33.33%","4.67","4-6","DINHEIRO","outros","0.5","/","URL_PROVAVEL","0","CONTENT+INTERNAL LINK","P3"
"mais opções","1","3","33.33%","7.33","7-10","INFORMATIVA","outros","0.15","/blog","URL_PROVAVEL","0","MONITOR","P3"
"foto preto e branco","0","1246","0%","9.23","7-10","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"foto em preto e branco","0","957","0%","11.11","11-15","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
"fotografia em preto e branco","0","646","0%","13.3","11-15","IRRELEVANTE","outros","0","/","URL_PROVAVEL","0","MONITOR","P3"
